team,1~5_avg,1,2~6_avg,2,3,4,5,6,season_sum
HUD,2.0,2,2.03,2,2,2,2,3,108
SOU,2.0,2,2.06,2,2,2,2,4,106
MUN,2.03,2,2.1,2,2,2,3,3,103
CRY,2.06,1,3.23,4,2,3,2,4,107
WBA,2.26,2,2.58,3,2,2,2,4,107
ARS,2.35,2,2.71,2,4,2,5,2,103
LIV,2.35,2,2.74,2,4,4,1,3,103
MCI,2.39,2,2.77,3,2,4,2,2,103
BOU,2.39,2,2.84,2,4,4,2,4,107
CHE,2.52,1,4.06,5,3,3,4,2,101
TOT,2.77,2,3.55,5,1,4,2,2,102
NEW,3.03,4,2.0,2,2,2,2,2,107
EVE,3.1,2,4.19,4,5,4,4,2,104
SWA,3.13,3,3.23,4,2,2,5,2,107
WAT,3.16,4,2.26,2,2,3,4,2,107
WHU,3.23,4,2.45,3,2,1,2,4,107
BHA,3.29,4,2.52,3,2,2,2,2,107
LEI,3.48,4,2.97,2,4,5,2,4,106
STK,3.68,4,3.39,4,2,4,2,5,107
BUR,4.0,5,2.87,2,5,2,4,1,107
